Raum;66/E33
W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W
W;.;.;.;.;.;P;P;P;P;P;P;P;P;.;.;.;.;W
W;.;.;.;.;.;P;P;P;P;P;P;P;P;.;.;.;.;W
W;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;W
W;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;W
W;.;.;P;T;P;T;P;T;P;T;P;T;P;T;P;T;.;W
W;.;.;P;P;P;P;P;P;P;P;P;P;P;P;P;P;.;W
W;.;T;P;T;P;T;P;T;P;T;P;T;P;T;P;T;.;W
W;.;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;.;W
W;.;T;P;T;P;T;P;T;P;T;P;T;P;T;P;T;.;W
W;.;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;.;W
W;.;T;P;T;P;T;P;T;P;T;P;T;P;T;P;T;.;W
W;.;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;.;W
W;.;T;P;T;P;T;P;T;P;T;P;T;P;T;P;T;.;W
W;.;P;P;P;P;P;P;P;P;P;P;P;P;P;P;P;.;W
W;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;W
W;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;W
W;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;W
W;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;W
W;.;.;W;.;.;T;P;T;P;T;P;T;P;T;P;T;.;W
W;.;.;W;.;.;P;P;P;P;P;P;P;P;P;P;P;.;W
W;.;.;W;.;.;T;P;T;P;T;P;T;P;T;P;T;.;W
W;.;.;W;.;.;P;P;P;P;P;P;P;P;P;P;P;.;W
W;.;.;W;.;.;T;P;T;P;T;P;T;P;T;P;T;.;W
W;.;.;W;.;.;.;P;P;P;P;P;P;P;P;P;P;.;W
W;.;.;W;.;.;.;P;T;P;T;P;T;P;T;P;T;.;W
W;.;.;W;.;.;.;P;P;P;P;P;P;P;P;P;P;.;W
W;.;.;W;.;.;.;P;T;P;T;P;T;P;T;P;T;.;W
W;.;.;W;.;.;.;.;.;.;.;.;.;.;.;.;.;.;W
W;.;.;W;.;.;.;.;.;.;.;.;.;.;.;.;.;.;W
W;D;D;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W;W
